,Time,Stamp,energy,harmonic,ugap,dcmPitch,dcmRoll,hfmPitch,IC1
0,2024+AC0-01+AC0-18,18:18:12.791390,6,3,6655.918,1.105,0.15671,0.8618057,786600
1,2024+AC0-01+AC0-18,18:21:24.070415,6.25,3,6871.334,1.10748,0.1604,0.858326,817575
2,2024+AC0-01+AC0-18,18:24:36.460436,6.5,3,7084.549,1.10748,0.16245,0.8556748,822157
3,2024+AC0-01+AC0-18,18:27:46.569426,6.75,3,7302.155,1.10748,0.16573,0.8530236,840952
4,2024+AC0-01+AC0-18,18:30:48.767575,7,3,7524.846,1.10965,0.16778,0.8507038,849750
5,2024+AC0-01+AC0-18,18:34:02.409399,7.25,3,7749.173,1.11182,0.16901,0.8507038,861935
6,2024+AC0-01+AC0-18,18:37:05.517366,7.5,3,7975.768,1.11523,0.16655,0.8493782,865217
7,2024+AC0-01+AC0-18,18:40:27.899426,7.75,3,8211.075,1.1174,0.17024,0.8495439,865286
8,2024+AC0-01+AC0-18,18:43:41.909330,8,5,5631.826,1.12143,0.17188,0.8505381,931101
9,2024+AC0-01+AC0-18,18:46:54.155354,8.25,5,5761.542,1.12298,0.17188,0.8507038,916970
10,2024+AC0-01+AC0-18,18:50:02.397382,8.5,5,5890.567,1.1267,0.17188,0.8507038,938743
11,2024+AC0-01+AC0-18,18:56:18.615460,8.75,5,6017.507,1.12732,0.17229,0.818558,939963
12,2024+AC0-01+AC0-18,18:59:15.272355,9,5,6146.191,1.12701,0.17229,0.8159068,824440
13,2024+AC0-01+AC0-18,19:02:17.158542,9.25,5,6272.808,1.1267,0.17065,0.8142498,711485
14,2024+AC0-01+AC0-18,19:05:19.431346,9.5,5,6399.613,1.1267,0.17024,0.8125928,594856
15,2024+AC0-01+AC0-18,19:08:21.987381,9.75,5,6526.621,1.12701,0.16573,0.8124271,491864
16,2024+AC0-01+AC0-18,19:11:30.613058,10,5,6653.886,1.12701,0.16942,0.8111015,401401
17,2024+AC0-01+AC0-18,19:14:35.528487,10.25,5,6783.693,1.12701,0.16942,0.8111015,313179
18,2024+AC0-01+AC0-18,19:17:37.969427,10.5,5,6910.145,1.13011,0.16737,0.810273,345111
19,2024+AC0-01+AC0-18,19:20:49.644379,10.75,5,7039.215,1.13197,0.16696,0.8106044,320817
20,2024+AC0-01+AC0-18,19:23:59.961384,11,7,5554.714,1.136,0.16696,0.8137527,405753
21,2024+AC0-01+AC0-18,19:27:08.171441,11.25,7,5648.14,1.13972,0.16409,0.8167353,443101
22,2024+AC0-01+AC0-18,19:30:14.934386,11.5,7,5741.292,1.14344,0.16163,0.8190551,466481
23,2024+AC0-01+AC0-18,19:33:31.460726,11.75,7,5834.176,1.14561,0.16368,0.8223691,438591
24,2024+AC0-01+AC0-18,19:36:37.178414,12,7,5926.895,1.14933,0.16081,0.8240261,446187
25,2024+AC0-01+AC0-18,19:39:44.176337,12.25,7,6017.467,1.15274,0.1563,0.8263459,441683
26,2024+AC0-01+AC0-18,19:42:55.643371,12.5,7,6107.973,1.15243,0.15794,0.8266773,392429
27,2024+AC0-01+AC0-18,19:46:02.619340,12.75,7,6198.489,1.15305,0.15548,0.8278372,347696
28,2024+AC0-01+AC0-18,19:48:57.298442,13,7,6289.044,1.15491,0.1522,0.826843,324773
29,2024+AC0-01+AC0-18,19:52:06.579147,13.25,7,6381.521,1.1546,0.15179,0.8271744,287563
30,2024+AC0-01+AC0-18,19:55:13.413536,13.5,7,6472.14,1.15646,0.14564,0.8283343,258479
31,2024+AC0-01+AC0-18,19:58:23.008159,13.75,7,6562.921,1.15646,0.14769,0.8276715,228503
32,2024+AC0-01+AC0-18,20:01:25.400672,14,9,5512.038,1.15646,0.15015,0.8288314,226168
33,2024+AC0-01+AC0-18,20:05:11.655960,14.25,9,5585.279,1.15832,0.12473,0.8285,209413
34,2024+AC0-01+AC0-18,20:09:12.768405,14.5,9,5658.27,1.15832,0.13047,0.8286657,188062
35,2024+AC0-01+AC0-18,20:12:11.186407,14.75,9,5731.145,1.16018,0.12473,0.8298256,167816
36,2024+AC0-01+AC0-18,20:15:17.228457,15,9,5803.908,1.15646,0.13457,0.8291628,138100
37,2024+AC0-01+AC0-18,20:23:52.835253,15.25,9,5874.47,1.15615,0.1112,0.8354594,134215
39,2024+AC0-01+AC0-18,21:45:57.572454,15.75,9,6017.507,1.14468,0.12022,0.8336367,104593
40,2024+AC0-01+AC0-18,21:49:57.942658,16,9,6087.892,1.14468,0.09521,0.8326425,89582
